Address,City,Price,Beds,Baths,SqFt,Lot Size,Year Built,Sold Date,Listing Status,URL
3548 Ryan Dr,Escondido,1751000,4,3.5,3759,43995,1982,1748502000000,Sold,https://www.redfin.com/CA/Escondido/3548-Ryan-Dr-92025/home/4197773
18127 Mirasol Dr,San Diego,1350000,4,2.0,2113,8500,1964,1745218800000,Closed Sale,https://www.redfin.com/CA/San-Diego/18127-Mirasol-Dr-92128/home/4201344
13356 Corte De Comares,San Diego,915000,3,2.0,1630,N/A,1987,1747378800000,Sold,https://www.redfin.com/CA/San-Diego/13356-Corte-de-Comares-92128/home/4214284
16630 Diaz Dr,San Diego,720000,2,2.0,1358,302182,1970,1749625200000,Sold,https://www.redfin.com/CA/San-Diego/16630-Diaz-Dr-92128/home/4242392
12065 Callado Rd,San Diego,965000,2,2.0,1518,8100,1985,1746687600000,Sold,https://www.redfin.com/CA/San-Diego/12065-Callado-Rd-92128/home/4246068
12226 Kingsgate Sq,San Diego,1862500,4,2.5,3104,9209,1986,1746169200000,Sold,https://www.redfin.com/CA/San-Diego/12226-Kingsgate-Sq-92128/home/4256418
12176 Sand Trap Row,San Diego,1435000,3,2.0,1586,5379,1986,1744182000000,Sold,https://www.redfin.com/CA/San-Diego/12176-Sand-Trap-Row-92128/home/4258470
13070 Via Grimaldi,Del Mar,3280000,4,3.0,3055,13510,1976,1746082800000,Sold,https://www.redfin.com/CA/Del-Mar/13070-Via-Grimaldi-92014/home/4433626
2268 Del Mar Scenic Pkwy,Del Mar,2125000,3,3.5,2234,N/A,1975,1743145200000,Sold,https://www.redfin.com/CA/Del-Mar/2268-Del-Mar-Scenic-Pkwy-92014/home/4439115
14241 Via Baroda,San Diego,2750000,5,4.0,3428,344124,1990,1747119600000,Closed Sale,https://www.redfin.com/CA/San-Diego/14241-Via-Baroda-92130/home/4450399
3510 Voyager Cir,San Diego,840000,2,2.0,1240,N/A,1985,1748588400000,Sold,https://www.redfin.com/CA/San-Diego/3510-Voyager-Cir-92130/home/4458822
13292 Seagrove St,San Diego,3800000,6,3.5,4485,8253,1999,1750402800000,Sold,https://www.redfin.com/CA/San-Diego/13292-Seagrove-St-92130/home/4480537
3621 Caminito Carmel Lndg,San Diego,995000,2,2.0,1066,N/A,1985,1745564400000,Closed Sale,https://www.redfin.com/CA/San-Diego/3621-Caminito-Carmel-Lndg-92130/home/4500931
12641 Monterey Cypress Way,San Diego,3024650,6,3.0,3273,9589,1987,1743145200000,Sold,https://www.redfin.com/CA/San-Diego/12641-Monterey-Cypress-Way-92130/home/4505901
11136 Caminito Rodar,San Diego,1150000,4,3.0,2169,51106,1992,1748415600000,Sold,https://www.redfin.com/CA/San-Diego/11136-Caminito-Rodar-92126/home/4523766
11195 Camino Ruiz #84,San Diego,425000,1,1.0,572,N/A,1985,1747983600000,Sold,https://www.redfin.com/CA/San-Diego/11195-Camino-Ruiz-92126/unit-84/home/4539053
8454 Hopseed Ln,San Diego,2200000,5,4.0,2710,N/A,1992,1745564400000,Sold,https://www.redfin.com/CA/San-Diego/8454-Hopseed-Ln-92129/home/4547496
7210 Calle Cristobal #4,San Diego,634000,2,2.0,1114,185160,1991,1744959600000,Sold,https://www.redfin.com/CA/San-Diego/7210-Calle-Cristobal-92126/unit-4/home/4559495
7234 Canyon Hill Ct,San Diego,1370000,4,3.0,1871,9667,1984,1744009200000,Sold,https://www.redfin.com/CA/San-Diego/7234-Canyon-Hill-Ct-92126/home/4590288
10604 Granby Way,San Diego,1240000,3,2.5,1448,4721,1988,1749538800000,Sold,https://www.redfin.com/CA/San-Diego/10604-Granby-Way-92126/home/4591389
10695 Penara St,San Diego,1300000,4,2.5,1920,4512,1993,1745218800000,Sold,https://www.redfin.com/CA/San-Diego/10695-Penara-St-92126/home/4593340
9120 Oviedo St,San Diego,1100000,3,2.0,1798,6091,1982,1743750000000,Closed Sale,https://www.redfin.com/CA/San-Diego/9120-Oviedo-St-92129/home/4601928
11745 Via Chona,San Diego,1300000,3,2.0,1991,N/A,1984,1744268400000,Sold,https://www.redfin.com/CA/San-Diego/11745-Via-Chona-92128/home/4632441
15609 Via Marchena,San Diego,1155000,3,2.5,1765,N/A,1987,1743058800000,Sold,https://www.redfin.com/CA/San-Diego/15609-Via-Marchena-92128/home/4641789
12194 Waverly Downs Ln,San Diego,1195000,3,2.0,1456,9693,1988,1747206000000,Sold,https://www.redfin.com/CA/San-Diego/12194-Waverly-Downs-Ln-92128/home/4661246
13519 Hike Ln,San Diego,1285000,4,3.0,1877,3869,1984,1750230000000,Sold,https://www.redfin.com/CA/San-Diego/13519-Hike-Ln-92129/home/4761770
13202 Salmon River Rd #205,San Diego,635000,2,2.0,927,136460,1987,1744095600000,Sold,https://www.redfin.com/CA/San-Diego/13202-Salmon-River-Rd-92129/unit-205/home/4768736
12256 Old Stone Rd,Poway,1072000,5,3.0,1946,31798,1956,1747119600000,Sold,https://www.redfin.com/CA/Poway/12256-Old-Stone-Rd-92064/home/4785905
10965 Canis Ln,San Diego,700000,3,1.0,1006,5800,1973,1748415600000,Sold,https://www.redfin.com/CA/San-Diego/10965-Canis-Ln-92126/home/4798438
10675 Lakecrest Pt,San Diego,1680000,4,2.5,3058,N/A,1983,1745823600000,Sold,https://www.redfin.com/CA/San-Diego/10675-Lakecrest-Pt-92131/home/4813522
10721 Oakbend Dr,San Diego,2200000,4,3.5,3233,10829,1985,1749625200000,Sold,https://www.redfin.com/CA/San-Diego/10721-Oakbend-Dr-92131/home/4815093
11998 Eastglen St,San Diego,1250000,3,2.0,1248,7731,1984,1744959600000,Sold,https://www.redfin.com/CA/San-Diego/11998-Eastglen-St-92131/home/4815349
10618 Wincheck Rd,San Diego,1405000,4,2.5,1764,4807,1996,1749452400000,Sold,https://www.redfin.com/CA/San-Diego/10618-Wincheck-Rd-92131/home/4822657
11204 Walking Fern,San Diego,1915000,5,3.0,2680,6578,1996,1744614000000,Closed Sale,https://www.redfin.com/CA/San-Diego/11204-Walking-Fern-Cv-92131/home/4824681
11121 Caminito Arcada,San Diego,977880,3,2.5,1269,14495,1998,1747897200000,Closed Sale,https://www.redfin.com/CA/San-Diego/11121-Caminito-Arcada-92131/home/4826403
11710 Candy Rose Way,San Diego,1850000,4,2.5,2770,9055,1998,1746774000000,Sold,https://www.redfin.com/CA/San-Diego/11710-Candy-Rose-Way-92131/home/4827942
10935 Caminito Arboles,San Diego,1400000,4,2.5,1903,N/A,1996,1746687600000,Sold,https://www.redfin.com/CA/San-Diego/10935-Caminito-Arboles-92131/home/4833190
10241 Saluda,Mira Mesa,1100000,3,2.0,1383,5000,1972,1747378800000,Closed Sale,https://www.redfin.com/CA/San-Diego/10241-Saluda-Ave-92126/home/4851087
8965 Cliffridge Ave,La Jolla,2075000,3,2.0,1655,8000,1958,1746601200000,Sold,https://www.redfin.com/CA/La-Jolla/8965-Cliffridge-Ave-92037/home/4864657
8944 Caminito Fresco,La Jolla,1250000,3,2.5,1776,2177,1972,1748329200000,Sold,https://www.redfin.com/CA/La-Jolla/8944-Caminito-Fresco-92037/home/4865385
8553 El Paseo Grande,La Jolla,5300000,4,4.0,2839,6363,1969,1749625200000,Sold,https://www.redfin.com/CA/La-Jolla/8553-El-Paseo-Grande-92037/home/4875840
2045 Lowry Pl,La Jolla,5800000,3,3.0,3094,5674,2021,1750402800000,Closed Sale,https://www.redfin.com/CA/La-Jolla/2045-Lowry-Pl-92037/home/4878054
3176 Bremerton Pl,La Jolla,2307500,4,3.0,1676,9800,1960,1745564400000,Closed Sale,https://www.redfin.com/CA/La-Jolla/3176-Bremerton-Pl-92037/home/4881253
8490 Via Sonoma #12,La Jolla,825000,2,1.5,1074,N/A,1978,1746774000000,Sold,https://www.redfin.com/CA/La-Jolla/8490-Via-Sonoma-92037/unit-12/home/4883113
8274 Caminito Modena,La Jolla,1050000,3,2.5,1416,167529,1978,1747033200000,Sold,https://www.redfin.com/CA/La-Jolla/8274-Caminito-Modena-92037/home/4883915
8085 Caminito Mallorca,La Jolla,1025000,3,2.5,1559,N/A,1979,1744095600000,Sold,https://www.redfin.com/CA/La-Jolla/8085-Caminito-Mallorca-92037/home/4885855
6330 Genesee Ave #319,San Diego,375000,1,1.0,578,106921,1985,1747033200000,Closed Sale,https://www.redfin.com/CA/San-Diego/6330-Genesee-Ave-92122/unit-319/home/4892605
6174 Agee St #79,San Diego,500000,1,1.0,692,N/A,1976,1750230000000,Sold,https://www.redfin.com/CA/San-Diego/6174-Agee-St-92122/unit-79/home/4893440
4966 Lakewood Ct,San Diego,1701000,4,3.0,3070,8747,1984,1744614000000,Closed Sale,https://www.redfin.com/CA/San-Diego/4966-Lakewood-Ct-92122/home/4900297
939 Coast Blvd Unit 18A,La Jolla,3260000,2,2.0,2312,36755,1966,1748329200000,Sold,https://www.redfin.com/CA/La-Jolla/939-Coast-Blvd-92037/unit-18A/home/4905648
7811 Eads Ave #213,La Jolla,1368000,2,2.0,1121,N/A,1971,1744182000000,Sold,https://www.redfin.com/CA/La-Jolla/7811-Eads-Ave-92037/unit-213/home/4905883
605 Rushville St,La Jolla,2235000,2,2.0,1530,189093960,1931,1747206000000,Sold,https://www.redfin.com/CA/La-Jolla/605-Rushville-St-92037/home/4914489
7227 Fay Ave,La Jolla,3500000,7,5.0,2798,8562,2006,1747638000000,Sold,https://www.redfin.com/CA/La-Jolla/7227-Fay-Ave-92037/home/4914626
6653 Neptune,La Jolla,1335000,3,6.0,3124,N/A,2012,1744614000000,Sold,https://www.redfin.com/CA/La-Jolla/6653-Neptune-Pl-92037/home/4916460
522 Gravilla Pl,La Jolla,2600000,3,2.0,1627,N/A,1960,1744700400000,Sold,https://www.redfin.com/CA/La-Jolla/522-Gravilla-Pl-92037/home/4917654
6631 Avenida Mirola,La Jolla,2850000,3,2.5,2152,9100,1955,1748588400000,Sold,https://www.redfin.com/CA/La-Jolla/6631-Avenida-Mirola-92037/home/4917933
6455 La Jolla Blvd #138,La Jolla,890000,2,2.0,989,135900,1970,1744614000000,Sold,https://www.redfin.com/CA/La-Jolla/6455-La-Jolla-Blvd-92037/unit-138/home/4919302
1090 SOLYMAR,La Jolla,10500000,6,6.5,6979,47916,1974,1745218800000,Sold,https://www.redfin.com/CA/La-Jolla/1090-Solymar-Dr-92037/home/4919829
7351 Draper Ave,La Jolla,2350000,3,2.5,1933,N/A,1994,1746428400000,Closed Sale,https://www.redfin.com/CA/La-Jolla/7351-Draper-Ave-92037/home/4919876
887 La Jolla Rancho Rd,La Jolla,4900000,5,5.0,3786,11400,1961,1744182000000,Sold,https://www.redfin.com/CA/La-Jolla/887-La-Jolla-Rancho-Rd-92037/home/4934839
5791 La Jolla Corona Dr,La Jolla,4550000,4,4.0,3475,8789,2007,1744700400000,Sold,https://www.redfin.com/CA/La-Jolla/5791-La-Jolla-Corona-Dr-92037/home/4938864
4539 La Crosse,San Diego,990500,3,1.5,1052,N/A,1956,1745391600000,Sold,https://www.redfin.com/CA/San-Diego/4539-La-Crosse-Ave-92117/home/4950283
4793 Leathers St,San Diego,1545000,5,2.5,2927,12300,1975,1748415600000,Sold,https://www.redfin.com/CA/San-Diego/4793-Leathers-St-92117/home/4951979
2710 Ariane Dr #2,San Diego,575000,1,1.0,810,323630,1981,1749193200000,Sold,https://www.redfin.com/CA/San-Diego/2710-Ariane-Dr-92117/unit-2/home/4952242
4311 Samoset Ave,San Diego,925000,2,1.0,780,6300,1954,1743663600000,Sold,https://www.redfin.com/CA/San-Diego/4311-Samoset-Ave-92117/home/4956726
4538 Cochise Way,San Diego,1300000,4,2.0,1472,6300,1954,1747378800000,Sold,https://www.redfin.com/CA/San-Diego/4538-Cochise-Way-92117/home/4958413
4504 Onondaga Ave,San Diego,835000,4,2.0,1235,7405,1954,1745996400000,Sold,https://www.redfin.com/CA/San-Diego/4504-Onondaga-Ave-92117/home/4958489
4463 Clairemont Dr,San Diego,1140000,3,2.0,1589,14200,1956,1745910000000,Sold,https://www.redfin.com/CA/San-Diego/4463-Clairemont-Dr-92117/home/4958671
4772 Mount Gaywas Dr,San Diego,975000,4,2.0,1281,6300,1960,1748415600000,Sold,https://www.redfin.com/CA/San-Diego/4772-Mount-Gaywas-Dr-92117/home/4960538
4443 Mount Castle Ave,San Diego,1043800,3,2.0,1188,6400,1958,1745910000000,Sold,https://www.redfin.com/CA/San-Diego/4443-Mount-Castle-Ave-92117/home/4961280
5229 Triana St,San Diego,1700000,5,4.0,2241,5700,1960,1743145200000,Closed Sale,https://www.redfin.com/CA/San-Diego/5229-Triana-St-92117/home/4964426
5215 Triana St,San Diego,1149000,5,2.0,1616,N/A,1960,1745996400000,Sold,https://www.redfin.com/CA/San-Diego/5215-Triana-St-92117/home/4964427
4550 Cheshire St,San Diego,1125000,3,2.0,1293,5200,1963,1744354800000,Closed Sale,https://www.redfin.com/CA/San-Diego/4550-Cheshire-St-92117/home/4964854
4729 Lithrop Pl,San Diego,915000,3,2.0,1125,9600,1965,1749625200000,Sold,https://www.redfin.com/CA/San-Diego/4729-Lithrop-Pl-92117/home/4966450
5838 Birkdale Way,San Diego,1100000,3,2.0,1436,5700,1966,1743663600000,Sold,https://www.redfin.com/CA/San-Diego/5838-Birkdale-Way-92117/home/4970177
10207 Veracruz Ct,San Diego,1100000,3,2.0,1570,N/A,1972,1744786800000,Sold,https://www.redfin.com/CA/San-Diego/10207-Veracruz-Ct-92124/home/4982183
9755 Caminito Del Marfil,San Diego,625000,2,2.5,1512,N/A,1978,1744959600000,Sold,https://www.redfin.com/CA/San-Diego/9755-Caminito-del-Marfil-92124/home/4983484
6039 Portobelo Ct,San Diego,981000,2,2.5,1427,N/A,1980,1747292400000,Sold,https://www.redfin.com/CA/San-Diego/6039-Portobelo-Ct-92124/home/4992140
4748 Renovo Way,San Diego,990000,2,2.5,1913,2207,1981,1744095600000,Sold,https://www.redfin.com/CA/San-Diego/4748-Renovo-Way-92124/home/4993001
5161 Camino Playa Portofino,San Diego,1325000,3,2.5,1826,N/A,1989,1748329200000,Sold,https://www.redfin.com/CA/San-Diego/5161-Camino-Playa-Portofino-92124/home/4995729
1164 Opal St,San Diego,2600000,4,2.5,2040,6100,1994,1744182000000,Sold,https://www.redfin.com/CA/San-Diego/1164-Opal-St-92109/home/5127612
4944 Cass St #510,San Diego,995000,2,2.0,1055,N/A,1973,1749798000000,Sold,https://www.redfin.com/CA/San-Diego/4944-Cass-St-92109/unit-510/home/5129285
1340 Loring St,San Diego,2020000,3,2.0,1427,6600,1958,1749193200000,Sold,https://www.redfin.com/CA/San-Diego/1340-Loring-St-92109/home/5136020
4750 Noyes St #123,San Diego,525000,1,1.0,620,42581,1977,1747724400000,Sold,https://www.redfin.com/CA/San-Diego/4750-Noyes-St-92109/unit-123/home/5141541
4876 Pacifica Dr,San Diego,2000000,3,2.0,1792,N/A,1961,1748415600000,Sold,https://www.redfin.com/CA/San-Diego/4876-Pacifica-Dr-92109/home/5146322
4859 Bella Pacific Row #228,San Diego,750000,2,2.0,1110,80527,1987,1746428400000,Sold,https://www.redfin.com/CA/San-Diego/4859-Bella-Pacific-Row-92109/unit-228/home/5148014
5001 Mt. Ararat Sr.,San Diego,965000,3,2.0,1645,N/A,1973,1750402800000,Sold,https://www.redfin.com/CA/San-Diego/5001-Mount-Ararat-Dr-92111/home/5153203
5695 Caminito Katerina,San Diego,715000,2,1.5,1000,N/A,1973,1743750000000,Sold,https://www.redfin.com/CA/San-Diego/5695-Caminito-Katerina-92111/home/5157624
3721 Mount Ashmun Pl,San Diego,1200000,4,2.0,1596,N/A,1976,1749538800000,Sold,https://www.redfin.com/CA/San-Diego/3721-Mount-Ashmun-Pl-92111/home/5161674
7142 Frakes St,San Diego,894400,3,2.0,1232,5500,1960,1745305200000,Sold,https://www.redfin.com/CA/San-Diego/7142-Frakes-St-92111/home/5166043
3460 Beagle Ct,San Diego,1185000,4,2.0,1308,9500,1959,1749798000000,Sold,https://www.redfin.com/CA/San-Diego/3460-Beagle-Ct-92111/home/5167501
4535 La Cuenta Dr,San Diego,1676000,4,2.0,2174,9300,1978,1746428400000,Sold,https://www.redfin.com/CA/San-Diego/4535-La-Cuenta-Dr-92124/home/5172399
3826 Bayside Walk,San Diego,3000000,2,2.5,1357,1657,2017,1745478000000,Sold,https://www.redfin.com/CA/San-Diego/3826-Bayside-Walk-92109/home/5182562
2990 Mission Blvd #203,San Diego,687500,1,1.0,540,N/A,1975,1745391600000,Sold,https://www.redfin.com/CA/San-Diego/2990-Mission-Blvd-92109/unit-203/home/5185752
2930 Cowley Way #101,San Diego,735000,2,2.0,1364,N/A,1982,1749538800000,Sold,https://www.redfin.com/CA/San-Diego/2930-Cowley-Way-92117/unit-101/home/5204312
4455 Gesner St,San Diego,1715000,3,2.5,1991,2871,1982,1745305200000,Sold,https://www.redfin.com/CA/San-Diego/4455-Gesner-St-92117/home/5204698
3150 W Fox Run Way,San Diego,1070000,3,2.5,1630,2736,1983,1743750000000,Closed Sale,https://www.redfin.com/CA/San-Diego/3150-W-Fox-Run-Way-92111/home/5206708
3271 Atlas St,San Diego,810000,3,2.0,1112,5500,1958,1749020400000,Sold,https://www.redfin.com/CA/San-Diego/3271-Atlas-St-92111/home/5207337
8751 Chantilly Ave,San Diego,902000,6,2.0,1762,6700,1960,1746687600000,Sold,https://www.redfin.com/CA/San-Diego/8751-Chantilly-Ave-92123/home/5211098
9209 Village Glen Dr #241,San Diego,570000,2,1.0,912,138464,1980,1744786800000,Sold,https://www.redfin.com/CA/San-Diego/9209-Village-Glen-Dr-92123/unit-241/home/5211550
9230 Irvington Ave,San Diego,1220000,4,3.0,1605,N/A,1959,1749452400000,Sold,https://www.redfin.com/CA/San-Diego/9230-Irvington-Ave-92123/home/5213231
9295 Rebecca Ave,San Diego,1099000,3,2.0,1536,6500,1959,1742972400000,Sold,https://www.redfin.com/CA/San-Diego/9295-Rebecca-Ave-92123/home/5214079
9367 Angwin Pl,San Diego,1022405,4,2.0,1924,6000,1960,1744268400000,Sold,https://www.redfin.com/CA/San-Diego/9367-Angwin-Pl-92123/home/5215153
2212 Denver St,San Diego,925000,2,1.0,605,N/A,1941,1744354800000,Sold,https://www.redfin.com/CA/San-Diego/2212-Denver-St-92110/home/5216863
2660 Deerpark Dr,San Diego,1540000,3,2.0,1431,7600,1952,1744354800000,Closed Sale,https://www.redfin.com/CA/San-Diego/2660-Deerpark-Dr-92110/home/5220101
1933 Drescher St,San Diego,849000,2,1.0,750,5800,1942,1746428400000,Sold,https://www.redfin.com/CA/San-Diego/1933-Drescher-St-92111/home/5222101
6335 Caminito Del Pastel,San Diego,755000,2,1.5,1175,N/A,1986,1745391600000,Sold,https://www.redfin.com/CA/San-Diego/6335-Caminito-del-Pastel-92111/home/5224725
2032 Crandall Dr,San Diego,750000,3,2.0,1075,11900,1960,1748502000000,Sold,https://www.redfin.com/CA/San-Diego/2032-Crandall-Dr-92111/home/5225992
5605 Friars Rd #312,San Diego,407000,1,1.0,695,300802,1981,1747983600000,Sold,https://www.redfin.com/CA/San-Diego/5605-Friars-Rd-92110/unit-312/home/5240927
8059 Caminito De Pizza Unit F,San Diego,200000,1,1.0,726,458715,1975,1743145200000,Closed Sale,https://www.redfin.com/CA/San-Diego/8059-Caminito-de-Pizza-92108/unit-F/home/5257380
2220 Camino De La Reina #110,San Diego,655000,2,2.0,1025,N/A,1992,1747724400000,Sold,https://www.redfin.com/CA/San-Diego/2220-Camino-de-la-Reina-92108/unit-110/home/5260299
5052 35th St,San Diego,1490000,4,3.0,1644,6065,1950,1747724400000,Sold,https://www.redfin.com/CA/San-Diego/5052-35th-St-92116/home/5265793
5027 Mountain View Dr,San Diego,1232000,4,2.0,1763,8349,1936,1746082800000,Closed Sale,https://www.redfin.com/CA/San-Diego/5027-E-Mountain-View-Dr-92116/home/5266168
5218 Marlborough Dr,San Diego,1674000,2,2.0,1656,8397,1930,1749193200000,Sold,https://www.redfin.com/CA/San-Diego/5218-Marlborough-Dr-92116/home/5266775
4052 Alder Dr,San Diego,1660000,3,2.0,1399,3228,1926,1744873200000,Sold,https://www.redfin.com/CA/San-Diego/4052-Alder-Dr-92116/home/5270377
